Matvare ID,Matvare,Kategori,Kostholdsgrupper,Kilojoule (kJ),Kilokalorier (kcal),Vann (g),Fett (g),Mettede fettsyrer (g),C12:0 (laurinsyre) (g),C14:0 (myristinsyre) (g),C16:0 (palmitinsyre) (g),C18:0 (stearinsyre) (g),Transfettsyrer (g),Enumettede fettsyrer (g),C16:1 sum (palmitoleinsyre) (g),C18:1 sum (oljesyre) (g),Flerumettede fettsyrer (g),C18:2n-6 (linolsyre) (g),C18:3n-3 (alfalinolensyre) (g),C20:3n-3 (eikosatriensyre) (g),"C20:3n-6 (dihomo-gamma-linolensyre, DGLA) (g)",C20:4n-3 (eikosatetraensyre) (g),C20:4n-6 (arakidonsyre) (g),"C20:5n-3 (eikosapentaensyre, EPA) (g)","C22:5n-3 (dokosapentaensyre, DPA) (g)","C22:6n-3 (dokosaheksaensyre, DHA) (g)",Omega-3 (g),Omega-6 (g),Kolesterol (mg),Karbohydrat (g),Stivelse (g),Sukkerarter (g),"Sukker, tilsatt (g)","Sukker, fritt (g)",Kostfiber (g),Protein (g),Salt (NaCl) (g),Alkohol (g),Vitamin A (RAE) (RAE),Vitamin A (RE) (RE),Retinol (µg),Betakaroten (µg),Vitamin D (µg),Vitamin E (mg-ATE),Vitamin B1 (tiamin) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B3 (niacin) (mg),Niacinekvivalenter (mg),Vitamin B6 (pyridoksin) (mg),Vitamin B9 (folat) (µg),Vitamin B12 (kobalamin) (µg),Vitamin C (askorbinsyre) (mg),Kalsium (Ca) (mg),Jern (Fe) (mg),Natrium (Na) (mg),Kalium (K) (mg),Magnesium (Mg) (mg),Sink (Zn) (mg),Selen (Se) (µg),Kobber (Cu) (mg),Fosfor (P) (mg),Jod (I) (µg),FoodEx2-klassifisering
13.034,"Kaffe, pulver, tilberedt",Drikke,Drikke,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,3,0,3,36,4,0,0,0,3,0,A03KE
13.009,"Kaffe, traktet",Drikke,Drikke,3,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.01,0.08,0.2,0.2,0,0,0,0,4,0,0,99,1,0,0,0,8,0,A03KC
13.097,"Kokosbasert drikke, med kalsium og vitaminer (vit B12, vit D)",Drikke,Drikke,101,24,95,0.9,0.8,0.4,0.2,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.2,1.8,0,0,0,0,0.1,0,0,0,0,0,0.4,0,0,0,0,0,0.01,1,0.3,0,150,0.1,47,20,3,0,0,0,70,0,A0F4S
13.022,"Lettøl, lett, 2,5 vol-% alkohol",Drikke,Drikke,104,25,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.3,0.2,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0.03,0.7,0.7,0.04,3,0,0,6,0,2,30,8,0,0,0.01,15,0,A03MF
13.054,"Likør, 17 vol-% alkohol, fløtebasert",Drikke,Drikke,1262,303,50,13,8.2,0.5,1.5,4.1,1.5,0.4,3,0.2,2.7,0.5,0.1,0.1,0,0,0,0,0,0,0,0.1,0.2,0,22.5,0,22.5,22,22,0,3,0.2,12,180,186,173,83,0,0.5,0,0.06,0.1,0.6,0.02,0,0.1,0,16,0.1,81,17,2,0.2,0,0,35,0,A03PA#F02.A06FC$F04.A02ML$F04.A03PD$F28.A0CRL
13.014,"Likør, 35 vol-% alkohol",Drikke,Drikke,1308,313,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,27.5,27.5,27.4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,A03NS#F02.A06FC$F04.A03PD$F28.A0CRL
13.053,"Likør, søt, 21 vol-% alkohol",Drikke,Drikke,943,225,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,0,29.9,29.9,29.9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,11,31,2,0,0,0.02,6,0,A03NG#F02.A0ENM$F04.A03MT$F04.A03PD$F28.A0C00
6.247,"Limonade, med bringebær, kjøpt i kafé/bakeri",Drikke,Drikke,228,54,87,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,11.6,12.8,0.3,0.2,0,0,0,0,0,5,0,0.1,0.04,0,0.1,0.1,0.01,5,0,6,3,0,0,33,3,0,0,0.01,5,0,A03ET#F02.A06HJ$F04.A01EP
13.146,"Limonade, med pasjonsfrukt",Drikke,Drikke,214,50,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,12.3,11.9,12,0.2,0.2,0,0,3,6,0,36,0,0,0.01,0.01,0.1,0.1,0.02,3,0,8,3,0.1,2,38,4,0.1,0,0.01,4,0,A03EA#F02.A06HJ$F04.A01KC
6.248,"Limonade, med sitron, kjøpt i kafé/bakeri",Drikke,Drikke,186,44,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,10.6,9,10.6,0.1,0.1,0,0,1,1,0,7,0,0,0.05,0,0.1,0.1,0.01,6,0,7,3,0,1,33,2,0,0,0.01,3,0,A03EA#F02.A06HJ$F04.A01BY
